"Genes"	"T0"	"T1"	"T2"	"T3"	"T4"
"1"	"SCARNA10"	69.0583210004	49.8820787658	0	0	45.0074998074
"2"	"SCARNA16"	56.24659629	19.561599516	55.410309742	0	24.4384614339
"3"	"SCARNA4"	40.7678818071	28.3567372829	0	0	35.4262968073
"4"	"SCARNA13"	28.6857641079	6.65094383544	0	0	16.618153775
"5"	"SCARNA21"	25.4060712711	13.2536924257	0	0	16.557943073
"6"	"SCARNA3"	18.2606137261	6.35072762065	0	0	15.8680287783
"7"	"SCARNA22"	14.0241513416	0	82.893823374	0	36.5599383051
"8"	"SCARNA27"	13.9128485532	0	0	0	0
"9"	"SCARNA6"	13.1805933662	3.43798788486	0	645.113427068	0
"10"	"SCARNA18"	13.0822307291	13.6493250354	0	0	0
"11"	"SCARNA12"	12.9853253163	20.3223283861	0	0	25.3888460452
"12"	"SCARNA14"	12.7957585234	0	0	0	33.3576079426
"13"	"SCARNA2"	8.34770913192	45.7252388686	0	408.571837143	40.8035025727
"14"	"SCARNA7"	5.3121785385	5.5424531962	0	0	6.9242307396
"15"	"SCARNA17"	4.1639404221	2.17222037381	0	0	0
"16"	"SCARNA5"	0	9.86875659036	0	0	24.6582317705
"17"	"SCARNA11"	0	6.67521735309	0	0	33.3576079426
"18"	"SCARNA9"	0	2.59066509171	0	0	0
"19"	"SCARNA1"	0	0	0	0	41.2951110374
"20"	"SCARNA15"	0	0	0	0	8.9960478113
